epoch,hp_metric,lr-Adam,step,train_loss,val_loss
0,0.2526073455810547,,44,,0.2526073455810547
,,0.001,49,,
1,,,49,0.2513220012187958,
1,0.23906463384628296,,89,,0.23906463384628296
,,0.001,99,,
2,,,99,0.23533305525779724,
2,0.18442170321941376,,134,,0.18442170321941376
,,0.001,149,,
3,,,149,0.17229777574539185,
3,0.16660471260547638,,179,,0.16660471260547638
,,0.001,199,,
4,,,199,0.16395290195941925,
4,0.16587819159030914,,224,,0.16587819159030914
,,0.001,249,,
5,,,249,0.1658492535352707,
5,0.16567407548427582,,269,,0.16567407548427582
,,0.001,299,,
6,,,299,0.16356664896011353,
6,0.1655653864145279,,314,,0.1655653864145279
,,0.001,349,,
7,,,349,0.16933222115039825,
7,0.1655282974243164,,359,,0.1655282974243164
,,0.001,399,,
8,,,399,0.16177314519882202,
8,0.16549144685268402,,404,,0.16549144685268402
,,0.001,449,,
9,,,449,0.17220626771450043,
9,0.1654835343360901,,449,,0.1654835343360901
10,0.16547538340091705,,494,,0.16547538340091705
,,0.001,499,,
11,,,499,0.16366997361183167,
11,0.16546630859375,,539,,0.16546630859375
,,0.001,549,,
12,,,549,0.16209100186824799,
12,0.16545848548412323,,584,,0.16545848548412323
,,0.0005,599,,
13,,,599,0.16700230538845062,
13,0.16545729339122772,,629,,0.16545729339122772
,,0.0005,649,,
14,,,649,0.16517521440982819,
14,0.1654662787914276,,674,,0.1654662787914276
,,0.0005,699,,
15,,,699,0.1676321178674698,
15,0.16545312106609344,,719,,0.16545312106609344
,,0.0005,749,,
16,,,749,0.16578441858291626,
16,0.16545674204826355,,764,,0.16545674204826355
,,0.0005,799,,
17,,,799,0.1641526222229004,
17,0.16545498371124268,,809,,0.16545498371124268
,,0.0005,849,,
18,,,849,0.16783997416496277,
18,0.16545391082763672,,854,,0.16545391082763672
,,0.00025,899,,
19,,,899,0.16864608228206635,
19,0.16545046865940094,,899,,0.16545046865940094
20,0.1654491126537323,,944,,0.1654491126537323
,,0.00025,949,,
21,,,949,0.16544169187545776,
21,0.16544955968856812,,989,,0.16544955968856812
,,0.00025,999,,
22,,,999,0.17228256165981293,
22,0.16544805467128754,,1034,,0.16544805467128754
,,0.00025,1049,,
23,,,1049,0.16604909300804138,
23,0.16544879972934723,,1079,,0.16544879972934723
,,0.00025,1099,,
24,,,1099,0.16076119244098663,
24,0.16545100510120392,,1124,,0.16545100510120392
,,0.000125,1149,,
25,,,1149,0.1623242199420929,
25,0.1654479056596756,,1169,,0.1654479056596756
,,0.000125,1199,,
26,,,1199,0.1677667498588562,
26,0.1654505580663681,,1214,,0.1654505580663681
,,0.000125,1249,,
27,,,1249,0.16872937977313995,
27,0.16544906795024872,,1259,,0.16544906795024872
,,0.000125,1299,,
28,,,1299,0.16875579953193665,
28,0.16544945538043976,,1304,,0.16544945538043976
,,0.000125,1349,,
29,,,1349,0.16152194142341614,
29,0.16545219719409943,,1349,,0.16545219719409943
